Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Matches
61,Ander Barrenetxea,es ESP,"FW,MF",es Real Sociedad,21,2001,7,5,397,4.4,1,1,2,1,0,0,1,0,0.5,0.5,1.2,1.7,22,21,64,0.23,0.23,0.45,0.23,0.45,0.10,0.28,0.38,0.10,0.38,Matches
62,Pablo Barrios,es ESP,MF,es Atlético Madrid,20,2003,7,2,262,2.9,1,1,2,1,0,0,0,0,0.3,0.3,0.3,0.6,3,15,12,0.34,0.34,0.69,0.34,0.69,0.12,0.11,0.23,0.12,0.23,Matches
63,Davide Bartesaghi,it ITA,FW,it Milan,17,2005,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
64,Alessandro Bastoni,it ITA,DF,it Inter,24,1999,7,6,500,5.6,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,6,23,9,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.13,0.06,0.13,Matches
65,Jelle Bataille,be BEL,DF,be Antwerp,24,1999,6,4,410,4.6,0,1,1,0,0,0,1,0,0.0,0.0,1.0,1.0,5,21,19,0.00,0.22,0.22,0.00,0.22,0.00,0.21,0.21,0.00,0.21,Matches
66,Christoph Baumgartner,at AUT,MF,de RB Leipzig,23,1999,6,0,118,1.3,0,0,0,0,0,0,0,0,0.8,0.8,0.1,0.9,5,5,4,0.00,0.00,0.00,0.00,0.00,0.63,0.05,0.68,0.63,0.68,Matches
67,Sheraldo Becker,sr SUR,FW,de Union Berlin,28,1995,5,4,365,4.1,2,0,2,2,0,0,0,0,1.3,1.3,0.8,2.1,19,11,30,0.49,0.00,0.49,0.49,0.49,0.32,0.20,0.53,0.32,0.53,Matches
68,Sheraldo Becker,sr SUR,FW,es Real Sociedad,28,1995,1,1,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
69,Thomas Beelen,nl NED,DF,nl Feyenoord,22,2001,1,1,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
70,Kevin Behrens,de GER,FW,de Union Berlin,32,1991,5,4,299,3.3,0,0,0,0,0,0,0,0,0.9,0.9,0.0,1.0,4,4,16,0.00,0.00,0.00,0.00,0.00,0.28,0.01,0.29,0.28,0.29,Matches
