Wk,Day,Date,Time,Home,xG,Score,xG1,Away,Attendance,Venue,Referee,Match_Report,Notes
16.0,Wed,2023-01-04,16:30 (17:30),Roma,1.5,1–0,0.7,Bologna,62092.0,Stadio Olimpico,Alberto Santoro,Match Report,
16.0,Wed,2023-01-04,18:30 (19:30),Fiorentina,1.6,1–1,1.7,Monza,31190.0,Stadio Artemio Franchi,Ermanno Feliciani,Match Report,
16.0,Wed,2023-01-04,18:30 (19:30),Cremonese,0.9,0–1,1.6,Juventus,14896.0,Stadio Giovanni Zini,Giovanni Ayroldi,Match Report,
16.0,Wed,2023-01-04,20:45 (21:45),Udinese,1.9,1–1,0.4,Empoli,19237.0,Dacia Arena,Marco Serra,Match Report,
16.0,Wed,2023-01-04,20:45 (21:45),Inter,1.4,1–0,0.9,Napoli,75470.0,Stadio Giuseppe Meazza,Simone Sozza,Match Report,
,,,,,,,,,,,,,
17.0,Sat,2023-01-07,15:00 (16:00),Fiorentina,2.2,2–1,1.6,Sassuolo,29695.0,Stadio Artemio Franchi,Gianluca Manganiello,Match Report,
17.0,Sat,2023-01-07,18:00 (19:00),Juventus,2.4,1–0,0.5,Udinese,39536.0,Allianz Stadium,Matteo Marchetti,Match Report,
17.0,Sat,2023-01-07,20:45 (21:45),Monza,1.5,2–2,1.7,Inter,13622.0,U-Power Stadium,Juan Sacchi,Match Report,
17.0,Sun,2023-01-08,12:30 (13:30),Salernitana,0.8,1–1,2.2,Torino,16300.0,Stadio Arechi,Andrea Colombo,Match Report,
17.0,Sun,2023-01-08,15:00 (16:00),Spezia,0.9,0–0,1.1,Lecce,7300.0,Stadio Alberto Picco,Daniele Chiffi,Match Report,
17.0,Sun,2023-01-08,15:00 (16:00),Lazio,0.9,2–2,0.6,Empoli,31000.0,Stadio Olimpico,Ivan Pezzuto,Match Report,
17.0,Sun,2023-01-08,18:00 (19:00),Sampdoria,0.6,0–2,3.2,Napoli,24490.0,Stadio Comunale Luigi Ferraris,Rosario Abisso,Match Report,
17.0,Sun,2023-01-08,20:45 (21:45),Milan,0.9,2–2,1.2,Roma,74103.0,Stadio Giuseppe Meazza,Davide Massa,Match Report,
17.0,Mon,2023-01-09,18:30 (19:30),Hellas Verona,1.5,2–0,0.8,Cremonese,3804.0,Stadio Marc'Antonio Bentegodi,Maurizio Mariani,Match Report,
17.0,Mon,2023-01-09,20:45 (21:45),Bologna,0.5,1–2,0.5,Atalanta,16953.0,Stadio Renato Dall'Ara,Marco Di Bello,Match Report,
,,,,,,,,,,,,,
18.0,Fri,2023-01-13,20:45 (21:45),Napoli,2.1,5–1,1.3,Juventus,60000.0,Stadio Diego Armando Maradona,Daniele Doveri,Match Report,
18.0,Sat,2023-01-14,15:00 (16:00),Cremonese,0.7,2–3,2.2,Monza,11519.0,Stadio Giovanni Zini,Davide Massa,Match Report,
18.0,Sat,2023-01-14,18:00 (19:00),Lecce,1.4,2–2,1.4,Milan,25942.0,Stadio Comunale Via Del Mare,Daniele Orsato,Match Report,
18.0,Sat,2023-01-14,20:45 (21:45),Inter,0.7,1–0,0.3,Hellas Verona,70734.0,Stadio Giuseppe Meazza,Michael Fabbri,Match Report,
18.0,Sun,2023-01-15,12:30 (13:30),Sassuolo,0.7,0–2,2.7,Lazio,10000.0,Mapei Stadium - Città del Tricolore,Luca Pairetto,Match Report,
