Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match_Report,Notes
18.0,Sun,2015-02-01,15:30 (16:30),Werder Bremen,2–0,Hertha BSC,40187.0,Weserstadion,Felix Brych,Match Report,
18.0,Sun,2015-02-01,17:30 (18:30),Augsburg,3–1,Hoffenheim,27090.0,WWK Arena,Florian Meyer,Match Report,
,,,,,,,,,,,
19.0,Tue,2015-02-03,20:00 (21:00),Hannover 96,1–1,Mainz 05,30500.0,HDI-Arena,Thorsten Kinhöfer,Match Report,
19.0,Tue,2015-02-03,20:00 (21:00),Gladbach,1–0,Freiburg,37091.0,Stadion im Borussia-Park,Markus Schmidt,Match Report,
19.0,Tue,2015-02-03,20:00 (21:00),Eint Frankfurt,1–1,Wolfsburg,34400.0,Commerzbank-Arena,Günter Perl,Match Report,
19.0,Tue,2015-02-03,20:00 (21:00),Bayern Munich,1–1,Schalke 04,75000.0,Allianz Arena,Bastian Dankert,Match Report,
19.0,Wed,2015-02-04,20:00 (21:00),Hertha BSC,0–1,Leverkusen,34636.0,Olympiastadion Berlin,Jochen Drees,Match Report,
19.0,Wed,2015-02-04,20:00 (21:00),Paderborn 07,0–3,Hamburger SV,15000.0,Benteler-Arena,Peter Gagelmann,Match Report,
19.0,Wed,2015-02-04,20:00 (21:00),Dortmund,0–1,Augsburg,80667.0,Signal Iduna Park,Marco Fritz,Match Report,
19.0,Wed,2015-02-04,20:00 (21:00),Hoffenheim,1–2,Werder Bremen,23631.0,PreZero Arena,Guido Winkmann,Match Report,
19.0,Wed,2015-02-04,20:00 (21:00),Köln,0–0,Stuttgart,48400.0,RheinEnergieSTADION,Tobias Stieler,Match Report,
,,,,,,,,,,,
20.0,Fri,2015-02-06,20:30 (21:30),Schalke 04,1–0,Gladbach,61973.0,Veltins-Arena,Wolfgang Stark,Match Report,
20.0,Sat,2015-02-07,15:30 (16:30),Wolfsburg,3–0,Hoffenheim,26356.0,Volkswagen Arena,Jochen Drees,Match Report,
20.0,Sat,2015-02-07,15:30 (16:30),Freiburg,0–3,Dortmund,24000.0,Schwarzwald-Stadion,Felix Brych,Match Report,
20.0,Sat,2015-02-07,15:30 (16:30),Stuttgart,0–2,Bayern Munich,60000.0,Mercedes-Benz Arena,Florian Meyer,Match Report,
20.0,Sat,2015-02-07,15:30 (16:30),Köln,0–0,Paderborn 07,49500.0,RheinEnergieSTADION,Christian Dingert,Match Report,
20.0,Sat,2015-02-07,15:30 (16:30),Mainz 05,0–2,Hertha BSC,26756.0,Opel Arena,Deniz Aytekin,Match Report,
20.0,Sat,2015-02-07,18:30 (19:30),Hamburger SV,2–1,Hannover 96,51779.0,Volksparkstadion,Manuel Gräfe,Match Report,
20.0,Sun,2015-02-08,15:30 (16:30),Werder Bremen,2–1,Leverkusen,39653.0,Weserstadion,Peter Sippel,Match Report,
20.0,Sun,2015-02-08,17:30 (18:30),Augsburg,2–2,Eint Frankfurt,27122.0,WWK Arena,Knut Kircher,Match Report,
,,,,,,,,,,,
21.0,Fri,2015-02-13,20:30 (21:30),Dortmund,4–2,Mainz 05,80200.0,Signal Iduna Park,Tobias Stieler,Match Report,
21.0,Sat,2015-02-14,15:30 (16:30),Bayern Munich,8–0,Hamburger SV,75000.0,Allianz Arena,Michael Weiner,Match Report,
21.0,Sat,2015-02-14,15:30 (16:30),Leverkusen,4–5,Wolfsburg,29227.0,BayArena,Bastian Dankert,Match Report,
21.0,Sat,2015-02-14,15:30 (16:30),Werder Bremen,3–2,Augsburg,39746.0,Weserstadion,Christian Dingert,Match Report,
21.0,Sat,2015-02-14,15:30 (16:30),Hoffenheim,2–1,Stuttgart,29309.0,PreZero Arena,Tobias Welz,Match Report,
21.0,Sat,2015-02-14,15:30 (16:30),Gladbach,1–0,Köln,54010.0,Stadion im Borussia-Park,Deniz Aytekin,Match Report,
21.0,Sat,2015-02-14,18:30 (19:30),Eint Frankfurt,1–0,Schalke 04,50400.0,Commerzbank-Arena,Marco Fritz,Match Report,
21.0,Sun,2015-02-15,15:30 (16:30),Hertha BSC,0–2,Freiburg,38000.0,Olympiastadion Berlin,Thorsten Kinhöfer,Match Report,
21.0,Sun,2015-02-15,17:30 (18:30),Hannover 96,1–2,Paderborn 07,38300.0,HDI-Arena,Jochen Drees,Match Report,
,,,,,,,,,,,
22.0,Fri,2015-02-20,20:30 (21:30),Stuttgart,2–3,Dortmund,60000.0,Mercedes-Benz Arena,Deniz Aytekin,Match Report,
22.0,Sat,2015-02-21,15:30 (16:30),Mainz 05,3–1,Eint Frankfurt,33237.0,Opel Arena,Felix Brych,Match Report,
22.0,Sat,2015-02-21,15:30 (16:30),Schalke 04,1–1,Werder Bremen,61973.0,Veltins-Arena,Manuel Gräfe,Match Report,
22.0,Sat,2015-02-21,15:30 (16:30),Paderborn 07,0–6,Bayern Munich,15000.0,Benteler-Arena,Bastian Dankert,Match Report,
22.0,Sat,2015-02-21,15:30 (16:30),Freiburg,1–1,Hoffenheim,23800.0,Schwarzwald-Stadion,Peter Gagelmann,Match Report,
