Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
215,Fred,br BRA,MF,eng Manchester Utd,28,1993,4.8,321,8,72,194,55,4,321,5,2,40.0,3,60.0,137,548,205,1,3,2,3,4,210,6,Matches
216,Remo Freuler,ch SUI,MF,it Atalanta,29,1992,5.8,429,16,103,226,104,5,429,6,4,66.7,2,33.3,247,1417,698,15,10,2,10,7,282,6,Matches
217,Roberto Gagliardini,it ITA,MF,it Inter,27,1994,0.8,66,6,26,27,14,0,66,0,0,,0,,33,165,69,1,0,0,3,0,48,5,Matches
218,Idrissa Gana Gueye,sn SEN,MF,fr Paris S-G,31,1989,4.4,260,14,79,146,39,4,260,8,6,75.0,2,25.0,138,672,319,6,4,1,7,6,185,8,Matches
219,Eric García,es ESP,DF,es Barcelona,20,2001,2.7,235,16,83,140,12,2,235,0,0,,0,,165,690,394,4,1,0,1,1,187,0,Matches
220,Ulisses Garcia,ch SUI,DF,ch Young Boys,25,1996,4.8,317,8,104,126,90,3,317,13,5,38.5,8,61.5,210,1044,614,15,12,0,11,6,201,23,Matches
221,Mario Gaspar,es ESP,DF,es Villarreal,30,1990,1.0,51,3,13,24,14,2,51,1,0,0.0,1,100.0,33,96,49,0,0,0,0,0,30,3,Matches
222,Gavi,es ESP,"MF,FW",es Barcelona,16,2004,4.4,223,2,20,117,90,9,223,14,10,71.4,4,28.6,159,819,384,12,6,1,5,14,165,25,Matches
223,David de Gea,es ESP,GK,eng Manchester Utd,30,1990,7.0,185,166,184,1,0,0,185,0,0,,0,,62,264,136,0,0,0,0,0,69,0,Matches
224,Yannick Gerhardt,de GER,FW,de Wolfsburg,27,1994,2.1,94,2,16,46,33,5,94,1,1,100.0,0,0.0,60,228,111,3,0,1,9,4,64,14,Matches
225,Rachid Ghezzal,dz ALG,"FW,MF",tr Beşiktaş,29,1992,3.8,221,2,40,112,72,12,220,10,5,50.0,5,50.0,140,910,574,18,13,4,14,9,156,25,Matches
226,Gilberto,br BRA,"DF,MF",pt Benfica,28,1993,7.9,512,36,175,222,120,7,512,25,14,56.0,11,44.0,230,1168,637,20,8,0,15,5,239,17,Matches
227,Daniel Ginczek,de GER,FW,de Wolfsburg,30,1991,0.0,1,0,0,0,1,0,1,0,0,,0,,0,0,0,0,0,0,0,0,1,0,Matches
228,Olivier Giroud,fr FRA,FW,it Milan,34,1986,2.9,90,5,15,36,39,11,90,1,0,0.0,1,100.0,37,155,37,1,2,0,12,3,72,14,Matches
229,Serge Gnabry,de GER,"FW,MF",de Bayern Munich,26,1995,4.3,302,1,26,102,174,41,302,16,11,68.8,5,31.3,199,969,509,17,13,8,9,10,233,70,Matches
230,Angel Gomes,eng ENG,MF,fr Lille,20,2000,1.9,76,1,11,41,25,6,76,3,1,33.3,2,66.7,41,192,71,2,3,2,4,3,48,11,Matches
231,Joe Gomez,eng ENG,DF,eng Liverpool,24,1997,2.8,255,9,71,158,28,2,255,2,2,100.0,0,0.0,159,685,339,7,5,1,2,2,171,5,Matches
232,Moi Gómez,es ESP,"MF,FW",es Villarreal,27,1994,2.5,106,4,22,40,44,5,106,5,2,40.0,3,60.0,61,425,177,8,4,2,3,4,76,14,Matches
233,Papu Gómez,ar ARG,"FW,MF",es Sevilla,33,1988,3.6,229,1,26,101,102,10,229,12,8,66.7,4,33.3,148,709,330,9,11,3,8,6,182,34,Matches
234,Diogo Gonçalves,pt POR,"MF,FW",pt Benfica,24,1997,1.5,78,10,24,29,25,1,78,4,0,0.0,4,100.0,35,175,74,3,3,1,2,4,45,8,Matches
235,Pedro Gonçalves,pt POR,MF,pt Sporting CP,23,1998,3.6,141,0,15,73,56,13,139,13,4,30.8,9,69.2,74,386,195,9,4,4,7,5,84,22,Matches
236,Nicolás González,es ESP,MF,es Barcelona,19,2002,2.8,172,3,17,84,75,4,172,12,9,75.0,3,25.0,118,636,386,10,10,0,3,4,130,10,Matches
237,Leon Goretzka,de GER,MF,de Bayern Munich,26,1995,5.2,409,15,64,226,123,20,409,3,2,66.7,1,33.3,266,1128,617,10,8,3,8,1,296,24,Matches
238,Robin Gosens,de GER,DF,it Atalanta,27,1994,1.1,77,5,22,25,30,3,77,3,2,66.7,1,33.3,47,123,62,0,4,0,1,0,48,5,Matches
239,Ryan Gravenberch,nl NED,MF,nl Ajax,19,2002,7.8,487,12,61,237,197,26,487,24,14,58.3,10,41.7,329,1810,1016,21,20,6,23,7,353,38,Matches
240,Ivo Grbić,hr CRO,GK,fr Lille,25,1996,6.0,181,164,179,2,0,0,181,0,0,,0,,89,586,407,0,0,0,0,0,55,0,Matches
241,Jack Grealish,eng ENG,FW,eng Manchester City,25,1995,5.1,314,2,31,105,183,37,314,15,9,60.0,6,40.0,247,1779,1000,41,17,24,10,6,252,81,Matches
242,Mason Greenwood,eng ENG,FW,eng Manchester Utd,19,2001,3.4,173,2,15,87,72,8,173,9,3,33.3,6,66.7,96,550,221,6,3,2,10,1,139,32,Matches
243,Antoine Griezmann,fr FRA,"FW,MF",es Atlético Madrid,30,1991,5.7,258,4,30,147,84,18,258,4,3,75.0,1,25.0,107,645,342,10,7,4,10,7,165,29,Matches
244,Álex Grimaldo,es ESP,"DF,MF",pt Benfica,25,1995,9.6,507,34,177,184,155,4,507,21,13,61.9,8,38.1,246,1287,698,18,15,2,12,7,265,42,Matches
245,Marko Grujić,rs SRB,MF,pt Porto,25,1996,3.6,180,8,38,102,42,9,180,2,2,100.0,0,0.0,78,428,219,6,3,2,8,0,108,4,Matches
246,Gabriel Gudmundsson,se SWE,"MF,DF",fr Lille,22,1999,2.7,137,9,47,60,32,2,137,6,2,33.3,4,66.7,64,539,253,10,7,1,9,2,69,10,Matches
247,Raphaël Guerreiro,pt POR,DF,de Dortmund,27,1993,2.0,154,4,30,82,44,4,154,4,3,75.0,1,25.0,103,421,255,5,1,1,2,2,106,9,Matches
248,Josuha Guilavogui,fr FRA,"MF,DF",de Wolfsburg,30,1990,4.7,266,37,117,135,15,2,266,3,1,33.3,2,66.7,94,255,102,1,1,0,4,2,123,2,Matches
249,Daouda Guindo,ml MLI,DF,at RB Salzburg,18,2002,0.1,8,0,1,6,2,0,8,0,0,,0,,7,24,14,0,0,0,0,0,6,2,Matches
250,Péter Gulácsi,hu HUN,GK,de RB Leipzig,31,1990,5.0,195,166,195,0,0,0,195,0,0,,0,,107,428,202,0,0,0,0,0,111,0,Matches
251,İlkay Gündoğan,de GER,MF,eng Manchester City,30,1990,7.4,473,7,61,242,176,23,473,11,6,54.5,5,45.5,343,1608,701,14,16,0,11,9,380,43,Matches
252,Mert Günok,tr TUR,GK,tr Beşiktaş,32,1989,1.0,48,41,48,0,0,0,48,0,0,,0,,21,91,52,0,0,0,0,0,22,0,Matches
253,Miguel Gutiérrez,es ESP,DF,es Real Madrid,20,2001,0.7,65,0,7,29,29,2,65,1,0,0.0,1,100.0,32,146,44,0,1,0,0,0,42,5,Matches
254,Joško Gvardiol,hr CRO,DF,de RB Leipzig,19,2002,3.7,252,31,116,102,38,10,252,6,4,66.7,2,33.3,117,727,336,4,5,0,4,3,147,11,Matches
255,Erling Haaland,no NOR,FW,de Dortmund,21,2000,2.3,89,4,5,30,54,21,89,10,2,20.0,8,80.0,42,293,99,5,3,3,6,2,66,19,Matches
256,Munir El Haddadi,ma MAR,"FW,MF",es Sevilla,25,1995,2.3,70,0,3,22,45,7,70,1,1,100.0,0,0.0,39,146,47,2,0,1,3,5,56,14,Matches
257,Amadou Haidara,ml MLI,MF,de RB Leipzig,23,1998,2.0,151,4,20,87,45,2,151,3,2,66.7,1,33.3,86,520,290,4,7,1,0,3,102,3,Matches
258,Achraf Hakimi,ma MAR,DF,fr Paris S-G,22,1998,8.0,565,31,189,243,136,14,565,21,11,52.4,10,47.6,288,1345,711,16,11,5,11,5,394,47,Matches
259,Sébastien Haller,ci CIV,FW,nl Ajax,27,1994,7.4,248,5,18,100,134,50,247,14,8,57.1,6,42.9,124,440,215,6,6,2,14,5,172,43,Matches
