Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Matches
136,Vito Mannone,it ITA,GK,Sunderland,eng Premier League,27,1988,19.0,23,,,,,,,,,,,,,,,,,,,,,,,,,Matches
137,Manu,es ESP,GK,La Coruña,es La Liga,29,1986,7.6,17,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
138,Federico Marchetti,it ITA,GK,Lazio,it Serie A,32,1983,28.3,39,,,,,,,,,,,,,,,,,,,,,,,,,Matches
139,Diego Mariño,es ESP,GK,Levante,es La Liga,25,1990,23.0,43,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
140,Christian Mathenia,de GER,GK,Darmstadt 98,de Bundesliga,23,1992,33.0,51,,,,,,,,,,,,,,,,,,,,,,,,,Matches
141,Clément Maury,fr FRA,GK,Gazélec Ajaccio,fr Ligue 1,29,1985,34.0,56,,,,,,,,,,,,,,,,,,,,,,,,,Matches
142,Alex McCarthy,eng ENG,GK,Crystal Palace,eng Premier League,25,1989,7.0,9,,,,,,,,,,,,,,,,,,,,,,,,,Matches
143,Tom Mickel,de GER,GK,Hamburger SV,de Bundesliga,26,1989,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
144,Simon Mignolet,be BEL,GK,Liverpool,eng Premier League,27,1988,34.0,42,,,,,,,,,,,,,,,,,,,,,,,,,Matches
145,Antonio Mirante,it ITA,GK,Bologna,it Serie A,32,1983,33.0,41,,,,,,,,,,,,,,,,,,,,,,,,,Matches
146,Boaz Myhill,wls WAL,GK,West Brom,eng Premier League,32,1982,23.0,31,,,,,,,,,,,,,,,,,,,,,,,,,Matches
147,Paul Nardi,fr FRA,GK,Monaco,fr Ligue 1,21,1994,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Matches
148,Keylor Navas,cr CRC,GK,Real Madrid,es La Liga,28,1986,34.0,28,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
149,Neto,br BRA,GK,Juventus,it Serie A,26,1989,3.0,3,,,,,,,,,,,,,,,,,,,,,,,,,Matches
150,Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,29,1986,33.6,16,,,,,,,,,,,,,,,,,,,,,,,,,Matches
151,Kristoffer Nordfeldt,se SWE,GK,Swansea City,eng Premier League,26,1989,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
152,Ørjan Nyland,no NOR,GK,Ingolstadt 04,de Bundesliga,24,1990,6.0,13,,,,,,,,,,,,,,,,,,,,,,,,,Matches
153,Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,22,1993,38.0,18,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
154,Guillermo Ochoa,mx MEX,GK,Málaga,es La Liga,30,1985,10.6,10,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
155,Oier Olazábal,es ESP,GK,Real Sociedad,es La Liga,25,1989,2.5,5,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
156,David Ospina,co COL,GK,Arsenal,eng Premier League,26,1988,4.0,5,,,,,,,,,,,,,,,,,,,,,,,,,Matches
157,Ramazan Özcan,at AUT,GK,Ingolstadt 04,de Bundesliga,31,1984,28.0,29,,,,,,,,,,,,,,,,,,,,,,,,,Matches
158,Juan Pablo Carrizo,ar ARG,GK,Inter,it Serie A,31,1984,1.8,4,,,,,,,,,,,,,,,,,,,,,,,,,Matches
159,Daniele Padelli,it ITA,GK,Torino,it Serie A,29,1985,35.0,50,,,,,,,,,,,,,,,,,,,,,,,,,Matches
