Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
1509,Igor Lichnovsky,cl CHI,DF,Sporting Gijón,es La Liga,21,1994,2.0,,,,,,,,,,,,,,,0,,,,,,Matches
1510,Stephan Lichtsteiner,ch SUI,"DF,MF",Juventus,it Serie A,31,1984,20.2,,,,,,,,,,,,,,,1,,,,,,Matches
1511,Jonathan Ligali,fr FRA,GK,Montpellier,fr Ligue 1,24,1991,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
1512,Lillo,es ESP,DF,Eibar,es La Liga,26,1989,6.1,,,,,,,,,,,,,,,0,,,,,,Matches
1513,Jesse Lingard,eng ENG,"FW,MF",Manchester Utd,eng Premier League,22,1992,18.1,,,,,,,,,,,,,,,1,,,,,,Matches
1514,Marko Livaja,hr CRO,"FW,MF",Empoli,it Serie A,21,1993,6.8,,,,,,,,,,,,,,,0,,,,,,Matches
1515,Jérémy Livolant,fr FRA,"FW,MF",Guingamp,fr Ligue 1,17,1998,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
1516,Raúl Lizoain,es ESP,GK,Las Palmas,es La Liga,24,1991,7.9,,,,,,,,,,,,,,,0,,,,,,Matches
1517,Adem Ljajić,rs SRB,"FW,MF",Roma,it Serie A,23,1991,0.0,,,,,,,,,,,,,,,0,,,,,,Matches
1518,Adem Ljajić,rs SRB,"FW,MF",Inter,it Serie A,23,1991,16.0,,,,,,,,,,,,,,,3,,,,,,Matches
1519,Diego Llorente,es ESP,DF,Rayo Vallecano,es La Liga,21,1993,31.9,,,,,,,,,,,,,,,0,,,,,,Matches
1520,Fernando Llorente,es ESP,FW,Juventus,it Serie A,30,1985,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
1521,Fernando Llorente,es ESP,FW,Sevilla,es La Liga,30,1985,12.9,,,,,,,,,,,,,,,3,,,,,,Matches
1522,Marcos Llorente,es ESP,"DF,FW",Real Madrid,es La Liga,20,1995,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
