Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Matches
12,Afriyie Acquah,gh GHA,MF,Torino,it Serie A,23,1992,29,22,1888,21.0,2,3,5,2,0,0,9,0,0.10,0.14,0.24,0.10,0.24,Matches
13,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,29,1985,22,12,1044,11.6,1,1,2,1,0,0,6,1,0.09,0.09,0.17,0.09,0.17,Matches
14,Antonio Adán,es ESP,GK,Betis,es La Liga,28,1987,36,36,3212,35.7,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
15,Emmanuel Adebayor,tg TOG,FW,Crystal Palace,eng Premier League,31,1984,12,7,619,6.9,1,1,2,1,0,0,1,0,0.15,0.15,0.29,0.15,0.29,Matches
16,Jordan Adéoti,bj BEN,"DF,MF",Caen,fr Ligue 1,26,1989,32,16,1718,19.1,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
17,Claud Adjapong,it ITA,"DF,MF",Sassuolo,it Serie A,17,1998,2,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
18,René Adler,de GER,GK,Hamburger SV,de Bundesliga,30,1985,24,24,2071,23.0,0,1,1,0,0,0,3,1,0.00,0.04,0.04,0.00,0.04,Matches
19,Ali Adnan Kadhim,iq IRQ,"DF,MF",Udinese,it Serie A,21,1993,28,21,1904,21.2,1,1,2,1,0,0,6,0,0.05,0.05,0.09,0.05,0.09,Matches
20,Adrián,es ESP,GK,West Ham,eng Premier League,28,1987,32,32,2880,32.0,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
21,Adriano,br BRA,"DF,MF",Barcelona,es La Liga,30,1984,8,4,434,4.8,0,1,1,0,0,0,0,0,0.00,0.21,0.21,0.00,0.21,Matches
22,Luiz Adriano,br BRA,"FW,MF",Milan,it Serie A,28,1987,26,12,1194,13.3,4,0,4,3,1,1,4,0,0.30,0.00,0.30,0.23,0.23,Matches
23,Adryan,br BRA,"FW,MF",Nantes,fr Ligue 1,20,1994,26,19,1423,15.8,3,2,5,3,0,0,2,1,0.19,0.13,0.32,0.19,0.32,Matches
24,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,34,1981,34,30,2776,30.8,20,6,26,17,3,5,9,0,0.65,0.19,0.84,0.55,0.75,Matches
25,Ibrahim Afellay,nl NED,"FW,MF",Stoke City,eng Premier League,29,1986,31,24,2102,23.4,2,2,4,2,0,0,3,1,0.09,0.09,0.17,0.09,0.17,Matches
26,Benik Afobe,cd COD,FW,Bournemouth,eng Premier League,22,1993,15,12,930,10.3,4,0,4,4,0,0,0,0,0.39,0.00,0.39,0.39,0.39,Matches
27,Kossi Agassa,tg TOG,GK,Reims,fr Ligue 1,37,1978,11,11,901,10.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
28,Gabriel Agbonlahor,eng ENG,"FW,MF",Aston Villa,eng Premier League,28,1986,15,13,1031,11.5,1,2,3,1,0,0,0,0,0.09,0.17,0.26,0.09,0.26,Matches
29,Imanol Agirretxe,es ESP,FW,Real Sociedad,es La Liga,28,1987,16,14,1170,13.0,13,0,13,13,0,0,0,0,1.00,0.00,1.00,1.00,1.00,Matches
30,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,27,1988,30,29,2360,26.2,24,2,26,20,4,5,1,0,0.92,0.08,0.99,0.76,0.84,Matches
31,Rodrigo Aguirre,uy URU,FW,Udinese,it Serie A,20,1994,10,3,340,3.8,0,1,1,0,0,0,1,0,0.00,0.26,0.26,0.00,0.26,Matches
32,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,24,1990,33,30,2661,29.6,4,1,5,4,0,0,6,0,0.14,0.03,0.17,0.14,0.17,Matches
33,Ali Ahamada,km COM,GK,Toulouse,fr Ligue 1,23,1991,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
34,Stefan Aigner,de GER,"FW,MF",Eint Frankfurt,de Bundesliga,27,1987,31,27,2394,26.6,3,3,6,3,0,0,7,0,0.11,0.11,0.23,0.11,0.23,Matches
35,Rachid Aït-Atmane,dz ALG,MF,Sporting Gijón,es La Liga,22,1993,18,11,1060,11.8,0,2,2,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,Matches
36,Albian Ajeti,ch SUI,FW,Augsburg,de Bundesliga,18,1997,1,0,37,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
37,Arlind Ajeti,al ALB,DF,Frosinone,it Serie A,21,1993,16,15,1218,13.5,1,0,1,1,0,0,5,1,0.07,0.00,0.07,0.07,0.07,Matches
38,Nathan Aké,nl NED,"DF,MF",Watford,eng Premier League,20,1995,24,20,1875,20.8,1,0,1,1,0,0,4,1,0.05,0.00,0.05,0.05,0.05,Matches
