Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Matches
596,Zaidu Sanusi,ng NGA,DF,pt Porto,24,1997,4.3,4,0.93,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
597,Pablo Sarabia,es ESP,"MF,FW",pt Sporting CP,29,1992,5.6,19,3.38,14,5,0,0,0,0,1,0.18,1,0,0,0,0,0,Matches
598,Bouna Sarr,sn SEN,"DF,FW",de Bayern Munich,29,1992,1.4,5,3.52,3,0,1,1,0,0,1,0.70,1,0,0,0,0,0,Matches
599,Malang Sarr,fr FRA,DF,eng Chelsea,22,1999,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
600,Charlie Savage,wls WAL,MF,eng Manchester Utd,18,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
601,Stefan Savić,me MNE,DF,es Atlético Madrid,30,1991,5.0,2,0.40,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
602,Nico Schulz,de GER,DF,de Dortmund,28,1993,2.2,9,4.13,9,0,0,0,0,0,2,0.92,2,0,0,0,0,0,Matches
603,Perr Schuurs,nl NED,DF,nl Ajax,21,1999,1.6,2,1.23,2,0,0,0,0,0,1,0.62,1,0,0,0,0,0,Matches
604,Haris Seferović,ch SUI,FW,pt Benfica,29,1992,0.1,1,9.00,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
605,Nicolas Seiwald,at AUT,MF,at RB Salzburg,20,2001,7.2,16,2.23,10,4,1,1,0,0,1,0.14,1,0,0,0,0,0,Matches
606,Stefano Sensi,it ITA,MF,it Inter,25,1995,0.1,2,16.36,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
607,Javier Serrano,es ESP,FW,es Atlético Madrid,18,2003,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
608,Benjamin Šeško,si SVN,FW,at RB Salzburg,18,2003,2.6,4,1.53,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
609,Artem Shabanov,ua UKR,DF,ua Dynamo Kyiv,29,1992,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
610,Mykola Shaparenko,ua UKR,MF,ua Dynamo Kyiv,22,1998,5.4,12,2.23,6,2,1,1,2,0,0,0.00,0,0,0,0,0,0,Matches
611,Luke Shaw,eng ENG,DF,eng Manchester Utd,26,1995,4.4,9,2.05,7,1,0,0,1,0,3,0.68,3,0,0,0,0,0,Matches
