Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Matches
170,Paulo Dybala,ar ARG,"FW,MF",it Juventus,22,1993,11,10,797,8.9,4,0,4,3,1,1,1,0,0.45,0.00,0.45,0.34,0.34,Matches
171,Alan Dzagoev,ru RUS,MF,ru CSKA Moscow,26,1990,3,3,263,2.9,2,0,2,2,0,0,0,0,0.68,0.00,0.68,0.68,0.68,Matches
172,Soslan Dzhanayev,ru RUS,GK,ru Rostov,29,1987,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
173,Ederson,br BRA,GK,pt Benfica,22,1993,7,7,630,7.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
174,Elías,br BRA,MF,pt Sporting CP,31,1985,2,1,77,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
175,Eliseu,pt POR,"DF,MF",pt Benfica,32,1983,4,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
176,Mohamed Elneny,eg EGY,MF,eng Arsenal,24,1992,5,0,81,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
177,Nico Elvedi,ch SUI,DF,de Gladbach,19,1996,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
178,Mohamed Elyounoussi,no NOR,"FW,MF",ch Basel,21,1994,3,2,169,1.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
179,Matías Emilio Delgado,ar ARG,MF,ch Basel,33,1982,6,5,356,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
180,Björn Engels,be BEL,DF,be Club Brugge,21,1994,1,1,53,0.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
181,Roman Eremenko,fi FIN,MF,ru CSKA Moscow,29,1987,2,2,180,2.0,1,0,1,1,0,0,1,0,0.50,0.00,0.50,0.50,0.50,Matches
182,Christian Eriksen,dk DEN,"FW,MF",eng Tottenham,24,1992,6,5,450,5.0,0,1,1,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,Matches
183,Caner Erkin,tr TUR,"DF,MF",tr Beşiktaş,27,1988,3,3,270,3.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
184,Aleksandr Erokhin,ru RUS,MF,ru Rostov,26,1989,6,6,495,5.5,0,1,1,0,0,0,0,0,0.00,0.18,0.18,0.00,0.18,Matches
185,Sergio Escudero,es ESP,"DF,MF",es Sevilla,26,1989,8,8,720,8.0,1,1,2,1,0,0,1,0,0.12,0.12,0.25,0.12,0.25,Matches
186,Ricardo Esgaio,pt POR,"DF,FW",pt Sporting CP,23,1993,1,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
187,Patrice Evra,fr FRA,DF,it Juventus,35,1981,6,6,500,5.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
188,Saeid Ezatolahi,ir IRN,MF,ru Rostov,19,1996,2,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
189,Fabinho,br BRA,"DF,MF",fr Monaco,22,1993,10,9,846,9.4,1,2,3,1,0,1,4,0,0.11,0.21,0.32,0.11,0.32,Matches
190,Fabricio,es ESP,GK,tr Beşiktaş,28,1987,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
191,Radamel Falcao,co COL,FW,fr Monaco,30,1986,8,8,666,7.4,5,0,5,5,0,2,3,0,0.68,0.00,0.68,0.68,0.68,Matches
192,Rasmus Falk,dk DEN,"FW,MF",dk FC Copenhagen,24,1992,6,4,319,3.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
193,Valeriy Fedorchuk,ua UKR,MF,ua Dynamo Kyiv,27,1988,1,1,56,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
194,Ljubomir Fejsa,rs SRB,MF,pt Benfica,27,1988,7,7,590,6.6,1,0,1,1,0,0,2,0,0.15,0.00,0.15,0.15,0.15,Matches
