Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
328,Andrej Kramarić,hr CRO,"MF,FW",de Hoffenheim,27,1991,5.3,280,3,28,129,131,17,279,12,6,50.0,6,50.0,169,1382,779,29,20,6,8,10,209,41,Matches
329,Rasmus Kristensen,dk DEN,DF,nl Ajax,21,1997,0.1,11,0,4,5,2,0,11,0,0,,0,,8,50,42,1,0,0,1,0,8,1,Matches
330,Michal Krmenčík,cz CZE,FW,cz Viktoria Plzeň,25,1993,2.7,69,4,8,38,25,9,69,6,3,50.0,3,50.0,37,248,165,4,2,2,4,3,49,11,Matches
331,Toni Kroos,de GER,MF,es Real Madrid,28,1990,7.2,771,11,77,475,222,9,771,6,4,66.7,2,33.3,518,2770,1428,29,21,3,5,6,582,19,Matches
332,Nenad Krstičić,rs SRB,MF,rs Red Star,28,1990,4.8,185,17,78,97,11,0,185,3,1,33.3,2,66.7,91,368,159,2,3,0,1,4,87,1,Matches
333,Grzegorz Krychowiak,pl POL,"MF,DF",ru Loko Moscow,28,1990,6.0,343,21,70,217,62,9,343,7,2,28.6,5,71.4,181,1138,507,12,11,3,9,7,212,11,Matches
334,Serhiy Kryvtsov,ua UKR,DF,ua Shakhtar,27,1991,5.0,290,34,165,121,4,2,290,1,1,100.0,0,0.0,183,884,419,2,2,0,1,0,212,1,Matches
335,Konstantin Kuchayev,ru RUS,MF,ru CSKA Moscow,20,1998,0.2,26,1,3,19,4,1,26,0,0,,0,,12,45,30,1,0,0,2,0,17,1,Matches
336,Ahmed Kutucu,tr TUR,FW,de Schalke 04,18,2000,0.2,5,0,0,3,3,0,5,0,0,,0,,3,44,36,0,1,0,0,0,2,1,Matches
337,Saba Kvirkvelia,ge GEO,DF,ru Loko Moscow,26,1992,4.8,213,32,107,100,6,4,213,0,0,,0,,81,372,212,0,0,0,3,0,112,0,Matches
338,Georgii Kyrnats,ru RUS,"GK,MF",ru CSKA Moscow,20,1998,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
339,Zakaria Labyad,ma MAR,MF,nl Ajax,25,1993,0.1,3,0,0,2,1,0,3,0,0,,0,,3,13,10,0,1,0,0,0,3,2,Matches
