Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
587,Serhiy Sydorchuk,ua UKR,MF,ua Dynamo Kyiv,24,1991,4.7,,,,,,,,,,,,,,,0,,,,,,Matches
588,Wojciech Szczęsny,pl POL,GK,it Roma,25,1990,7.6,,,,,,,,,,,,,,,0,,,,,,Matches
589,Jonathan Tah,de GER,DF,de Leverkusen,19,1996,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
590,Taison,br BRA,"FW,MF",ua Shakhtar,27,1988,2.9,,,,,,,,,,,,,,,2,,,,,,Matches
591,Talisca,br BRA,"FW,MF",pt Benfica,21,1994,2.4,,,,,,,,,,,,,,,0,,,,,,Matches
592,Jérémy Taravel,fr FRA,DF,hr Dinamo Zagreb,28,1987,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
593,Alex Teixeira,br BRA,"FW,MF",ua Shakhtar,25,1990,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
594,Cristian Tello,es ESP,"FW,MF",pt Porto,23,1991,2.7,,,,,,,,,,,,,,,1,,,,,,Matches
595,Łukasz Teodorczyk,pl POL,FW,ua Dynamo Kyiv,24,1991,1.1,,,,,,,,,,,,,,,0,,,,,,Matches
596,Marc-André ter Stegen,de GER,GK,es Barcelona,23,1992,10.0,,,,,,,,,,,,,,,0,,,,,,Matches
597,John Terry,eng ENG,DF,eng Chelsea,34,1980,3.8,,,,,,,,,,,,,,,0,,,,,,Matches
598,Eitan Tibi,il ISR,DF,il Maccabi Tel Aviv,27,1987,5.0,,,,,,,,,,,,,,,0,,,,,,Matches
599,Anton Tinnerholm,se SWE,"DF,MF",se Malmö,24,1991,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
600,Corentin Tolisso,fr FRA,"DF,MF",fr Lyon,20,1994,6.0,,,,,,,,,,,,,,,1,,,,,,Matches
601,Ömer Toprak,tr TUR,DF,de Leverkusen,26,1989,2.8,,,,,,,,,,,,,,,0,,,,,,Matches
602,Vasilis Torosidis,gr GRE,"DF,MF",it Roma,30,1985,1.7,,,,,,,,,,,,,,,0,,,,,,Matches
603,Fernando Torres,es ESP,FW,es Atlético Madrid,31,1984,7.5,,,,,,,,,,,,,,,1,,,,,,Matches
604,Óliver Torres,es ESP,"FW,MF",es Atlético Madrid,20,1994,2.8,,,,,,,,,,,,,,,0,,,,,,Matches
605,Zoran Tošić,rs SRB,"FW,MF",ru CSKA Moscow,28,1987,5.4,,,,,,,,,,,,,,,1,,,,,,Matches
606,Francesco Totti,it ITA,"FW,MF",it Roma,38,1976,0.2,,,,,,,,,,,,,,,0,,,,,,Matches
607,Yaya Touré,ci CIV,MF,eng Manchester City,32,1983,8.3,,,,,,,,,,,,,,,2,,,,,,Matches
608,Bertrand Traoré,bf BFA,"FW,MF",eng Chelsea,19,1995,0.5,,,,,,,,,,,,,,,0,,,,,,Matches
609,Ibrahima Traoré,gn GUI,MF,de Gladbach,27,1988,3.2,,,,,,,,,,,,,,,0,,,,,,Matches
610,Kevin Trapp,de GER,GK,fr Paris S-G,25,1990,10.0,,,,,,,,,,,,,,,0,,,,,,Matches
611,Christian Träsch,de GER,"DF,MF",de Wolfsburg,27,1987,7.0,,,,,,,,,,,,,,,1,,,,,,Matches
612,Benoît Trémoulinas,fr FRA,DF,es Sevilla,29,1985,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
613,Konstantin Troyanov,ru RUS,MF,ru Zenit,19,1995,0.0,,,,,,,,,,,,,,,0,,,,,,Matches
614,Arda Turan,tr TUR,"FW,MF",es Barcelona,28,1987,0.5,,,,,,,,,,,,,,,0,,,,,,Matches
615,Patrick Twumasi,gh GHA,"FW,MF",kz FC Astana,21,1994,2.0,,,,,,,,,,,,,,,0,,,,,,Matches
616,Salih Uçan,tr TUR,MF,it Roma,21,1994,0.2,,,,,,,,,,,,,,,0,,,,,,Matches
617,Sven Ulreich,de GER,GK,de Bayern Munich,26,1988,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
618,Samuel Umtiti,fr FRA,DF,fr Lyon,21,1993,4.0,,,,,,,,,,,,,,,0,,,,,,Matches
619,William Vainqueur,fr FRA,MF,it Roma,26,1988,2.1,,,,,,,,,,,,,,,0,,,,,,Matches
620,Alyaksandr Valadzko,by BLR,MF,by BATE Borisov,29,1986,3.3,,,,,,,,,,,,,,,1,,,,,,Matches
621,Maksim Valadzko,by BLR,"DF,MF",by BATE Borisov,22,1992,3.5,,,,,,,,,,,,,,,1,,,,,,Matches
622,Mathieu Valbuena,fr FRA,"FW,MF",fr Lyon,30,1984,5.0,,,,,,,,,,,,,,,1,,,,,,Matches
623,Antonio Valencia,ec ECU,"DF,MF",eng Manchester Utd,29,1985,1.6,,,,,,,,,,,,,,,1,,,,,,Matches
624,Raphaël Varane,fr FRA,"DF,MF",es Real Madrid,22,1993,4.9,,,,,,,,,,,,,,,0,,,,,,Matches
625,Guillermo Varela,uy URU,DF,eng Manchester Utd,22,1993,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
626,Silvestre Varela,pt POR,"FW,MF",pt Porto,30,1985,0.2,,,,,,,,,,,,,,,0,,,,,,Matches
627,Viktor Vasin,ru RUS,DF,ru CSKA Moscow,26,1988,0.5,,,,,,,,,,,,,,,0,,,,,,Matches
628,Lucas Vázquez,es ESP,"DF,FW",es Real Madrid,24,1991,3.7,,,,,,,,,,,,,,,2,,,,,,Matches
629,Miguel Veloso,pt POR,MF,ua Dynamo Kyiv,29,1986,3.7,,,,,,,,,,,,,,,0,,,,,,Matches
630,Thomas Vermaelen,be BEL,DF,es Barcelona,29,1985,3.0,,,,,,,,,,,,,,,0,,,,,,Matches
631,Gil Vermouth,il ISR,MF,il Maccabi Tel Aviv,29,1985,1.8,,,,,,,,,,,,,,,0,,,,,,Matches
632,Marco Verratti,it ITA,MF,fr Paris S-G,22,1992,4.0,,,,,,,,,,,,,,,1,,,,,,Matches
633,Rúben Vezo,pt POR,DF,es Valencia,21,1994,0.9,,,,,,,,,,,,,,,0,,,,,,Matches
634,Domagoj Vida,hr CRO,"DF,MF",ua Dynamo Kyiv,26,1989,4.1,,,,,,,,,,,,,,,0,,,,,,Matches
635,Arturo Vidal,cl CHI,MF,de Bayern Munich,28,1987,9.5,,,,,,,,,,,,,,,1,,,,,,Matches
636,Vieirinha,pt POR,"DF,FW",de Wolfsburg,29,1986,5.3,,,,,,,,,,,,,,,1,,,,,,Matches
637,Luciano Vietto,ar ARG,"FW,MF",es Atlético Madrid,21,1993,2.5,,,,,,,,,,,,,,,1,,,,,,Matches
638,Vitolo,es ESP,"FW,MF",es Sevilla,25,1989,5.0,,,,,,,,,,,,,,,1,,,,,,Matches
639,Rai Vloet,nl NED,"FW,MF",nl PSV Eindhoven,20,1995,0.0,,,,,,,,,,,,,,,0,,,,,,Matches
640,Praxitelis Vouros,gr GRE,DF,gr Olympiacos,20,1995,0.0,,,,,,,,,,,,,,,0,,,,,,Matches
641,Theo Walcott,eng ENG,"FW,MF",eng Arsenal,26,1989,3.5,,,,,,,,,,,,,,,1,,,,,,Matches
642,Danny Welbeck,eng ENG,"FW,MF",eng Arsenal,24,1990,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
643,Wendell,br BRA,DF,de Leverkusen,22,1993,6.0,,,,,,,,,,,,,,,1,,,,,,Matches
644,Oscar Wendt,se SWE,"DF,MF",de Gladbach,29,1985,5.9,,,,,,,,,,,,,,,0,,,,,,Matches
645,Pontus Wernbloom,se SWE,"FW,MF",ru CSKA Moscow,29,1986,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
646,Jordy de Wijs,nl NED,DF,nl PSV Eindhoven,20,1995,0.2,,,,,,,,,,,,,,,0,,,,,,Matches
647,Johan Wiland,se SWE,GK,se Malmö,34,1981,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
648,Jetro Willems,nl NED,"DF,MF",nl PSV Eindhoven,21,1994,1.8,,,,,,,,,,,,,,,0,,,,,,Matches
649,Willian,br BRA,"FW,MF",eng Chelsea,26,1988,7.1,,,,,,,,,,,,,,,1,,,,,,Matches
650,Axel Witsel,be BEL,"DF,MF",ru Zenit,26,1989,7.0,,,,,,,,,,,,,,,1,,,,,,Matches
651,Magnus Wolff Eikrem,no NOR,"FW,MF",se Malmö,24,1990,0.8,,,,,,,,,,,,,,,0,,,,,,Matches
652,Granit Xhaka,ch SUI,MF,de Gladbach,22,1992,5.0,,,,,,,,,,,,,,,1,,,,,,Matches
653,Evgeni Yablonski,by BLR,MF,by BATE Borisov,20,1995,4.3,,,,,,,,,,,,,,,0,,,,,,Matches
654,Oleksandr Yakovenko,ua UKR,"FW,MF",ua Dynamo Kyiv,28,1987,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
655,Mapou Yanga-Mbiwa,fr FRA,DF,fr Lyon,26,1989,5.0,,,,,,,,,,,,,,,0,,,,,,Matches
656,Andriy Yarmolenko,ua UKR,"FW,MF",ua Dynamo Kyiv,25,1989,6.2,,,,,,,,,,,,,,,0,,,,,,Matches
657,Alexey Yevseyev,ru RUS,MF,ru Zenit,21,1994,0.0,,,,,,,,,,,,,,,0,,,,,,Matches
658,Burak Yılmaz,tr TUR,FW,tr Galatasaray,30,1985,3.0,,,,,,,,,,,,,,,1,,,,,,Matches
659,Barak Yitzhaki,il ISR,FW,il Maccabi Tel Aviv,30,1984,0.5,,,,,,,,,,,,,,,0,,,,,,Matches
660,Yoshimar Yotún,pe PER,"DF,MF",se Malmö,25,1990,3.4,,,,,,,,,,,,,,,0,,,,,,Matches
661,Ashley Young,eng ENG,"DF,FW",eng Manchester Utd,30,1985,2.8,,,,,,,,,,,,,,,0,,,,,,Matches
662,Vladlen Yurchenko,ua UKR,MF,de Leverkusen,21,1994,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
663,Pablo Zabaleta,ar ARG,"DF,MF",eng Manchester City,30,1985,1.7,,,,,,,,,,,,,,,0,,,,,,Matches
664,Eran Zahavi,il ISR,"FW,MF",il Maccabi Tel Aviv,28,1987,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
665,Simone Zaza,it ITA,FW,it Juventus,24,1991,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
666,Maksim Zhavnerchik,by BLR,"DF,MF",by BATE Borisov,30,1985,2.0,,,,,,,,,,,,,,,0,,,,,,Matches
667,Yuri Zhirkov,ru RUS,"DF,MF",ru Zenit,31,1983,1.1,,,,,,,,,,,,,,,1,,,,,,Matches
668,Georgy Zhukov,kz KAZ,MF,kz FC Astana,20,1994,2.9,,,,,,,,,,,,,,,0,,,,,,Matches
669,Jeroen Zoet,nl NED,GK,nl PSV Eindhoven,24,1991,8.3,,,,,,,,,,,,,,,0,,,,,,Matches
670,Kurt Zouma,fr FRA,DF,eng Chelsea,20,1994,5.2,,,,,,,,,,,,,,,0,,,,,,Matches
671,Ervin Zukanović,ba BIH,DF,it Roma,28,1987,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
672,Nikola Đurđić,rs SRB,"FW,MF",se Malmö,29,1986,5.0,,,,,,,,,,,,,,,0,,,,,,Matches
673,Birzhan Kulbekov,,,kz FC Astana,,,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
674,Hern Hern,,,gr Olympiacos,,,1.6,,,,,,,,,,,,,,,0,,,,,,Matches
675,Igor Pikalkin,,,kz FC Astana,,,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
676,Jardel Jardel,,,pt Benfica,,,9.0,,,,,,,,,,,,,,,0,,,,,,Matches
677,Sandro Ramírez,,,es Barcelona,,,1.9,,,,,,,,,,,,,,,0,,,,,,Matches
