Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
302,Robin Knoche,de GER,DF,de Wolfsburg,23,1992,2.0,,,,,,,,,,,,,,,0,,,,,,Matches
303,Vasyl Kobin,ua UKR,"DF,MF",ua Shakhtar,30,1985,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
304,Enoch Kofi Adu,gh GHA,MF,se Malmö,24,1990,5.8,,,,,,,,,,,,,,,0,,,,,,Matches
305,Koke,es ESP,MF,es Atlético Madrid,23,1992,11.5,,,,,,,,,,,,,,,1,,,,,,Matches
306,Aleksandr Kokorin,ru RUS,"FW,MF",ru Zenit,24,1991,0.8,,,,,,,,,,,,,,,0,,,,,,Matches
307,Aleksandar Kolarov,rs SRB,DF,eng Manchester City,29,1985,4.3,,,,,,,,,,,,,,,0,,,,,,Matches
308,Timothée Kolodziejczak,fr FRA,DF,es Sevilla,23,1991,5.6,,,,,,,,,,,,,,,0,,,,,,Matches
309,Vincent Kompany,be BEL,DF,eng Manchester City,29,1986,4.0,,,,,,,,,,,,,,,0,,,,,,Matches
310,Pa Konate,gn GUI,DF,se Malmö,21,1994,3.0,,,,,,,,,,,,,,,1,,,,,,Matches
311,Bakary Koné,bf BFA,DF,fr Lyon,27,1988,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
312,Yevhen Konoplyanka,ua UKR,"FW,MF",es Sevilla,25,1989,4.7,,,,,,,,,,,,,,,1,,,,,,Matches
313,Julian Korb,de GER,"DF,MF",de Gladbach,23,1992,4.9,,,,,,,,,,,,,,,2,,,,,,Matches
314,Laurent Koscielny,fr FRA,DF,eng Arsenal,29,1985,6.6,,,,,,,,,,,,,,,0,,,,,,Matches
315,Mateo Kovačić,hr CRO,MF,es Real Madrid,21,1994,3.8,,,,,,,,,,,,,,,0,,,,,,Matches
316,Viktor Kovalenko,ua UKR,MF,ua Shakhtar,19,1996,0.8,,,,,,,,,,,,,,,0,,,,,,Matches
317,Zhakyp Kozhamberdy,kz KAZ,MF,kz FC Astana,23,1992,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
318,Christoph Kramer,de GER,MF,de Leverkusen,24,1991,4.4,,,,,,,,,,,,,,,0,,,,,,Matches
319,Matías Kranevitter,ar ARG,MF,es Atlético Madrid,22,1993,0.5,,,,,,,,,,,,,,,0,,,,,,Matches
320,Artem Kravets,ua UKR,FW,ua Dynamo Kyiv,26,1989,1.6,,,,,,,,,,,,,,,0,,,,,,Matches
321,Michael Krohn-Dehli,dk DEN,"FW,MF",es Sevilla,32,1983,2.9,,,,,,,,,,,,,,,1,,,,,,Matches
322,Simon Kroon,se SWE,MF,se Malmö,22,1993,0.4,,,,,,,,,,,,,,,0,,,,,,Matches
323,Toni Kroos,de GER,MF,es Real Madrid,25,1990,11.1,,,,,,,,,,,,,,,1,,,,,,Matches
324,Max Kruse,de GER,"FW,MF",de Wolfsburg,27,1988,7.6,,,,,,,,,,,,,,,1,,,,,,Matches
325,Grzegorz Krychowiak,pl POL,MF,es Sevilla,25,1990,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
326,Oleksandr Kucher,ua UKR,DF,ua Shakhtar,32,1982,5.0,,,,,,,,,,,,,,,0,,,,,,Matches
327,Sven Kums,be BEL,MF,be Gent,27,1988,8.0,,,,,,,,,,,,,,,2,,,,,,Matches
328,Layvin Kurzawa,fr FRA,DF,fr Paris S-G,22,1992,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
329,Alexandre Lacazette,fr FRA,FW,fr Lyon,24,1991,5.6,,,,,,,,,,,,,,,0,,,,,,Matches
330,Philipp Lahm,de GER,"DF,MF",de Bayern Munich,31,1983,12.3,,,,,,,,,,,,,,,0,,,,,,Matches
331,Ezequiel Lavezzi,ar ARG,"FW,MF",fr Paris S-G,30,1985,0.9,,,,,,,,,,,,,,,0,,,,,,Matches
332,Miguel Layún,mx MEX,"DF,MF",pt Porto,27,1988,5.1,,,,,,,,,,,,,,,2,,,,,,Matches
333,Mario Lemina,ga GAB,"DF,MF",it Juventus,21,1993,0.0,,,,,,,,,,,,,,,0,,,,,,Matches
334,Bernd Leno,de GER,GK,de Leverkusen,23,1992,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
335,Maxime Lestienne,be BEL,"FW,MF",nl PSV Eindhoven,23,1992,2.2,,,,,,,,,,,,,,,2,,,,,,Matches
336,Robert Lewandowski,pl POL,FW,de Bayern Munich,26,1988,10.5,,,,,,,,,,,,,,,0,,,,,,Matches
337,Oscar Lewicki,se SWE,"DF,MF",se Malmö,23,1992,5.1,,,,,,,,,,,,,,,0,,,,,,Matches
338,Stephan Lichtsteiner,ch SUI,"DF,MF",it Juventus,31,1984,6.2,,,,,,,,,,,,,,,0,,,,,,Matches
339,Victor Lindelöf,se SWE,DF,pt Benfica,21,1994,4.0,,,,,,,,,,,,,,,0,,,,,,Matches
340,Jesse Lingard,eng ENG,"FW,MF",eng Manchester Utd,22,1992,3.9,,,,,,,,,,,,,,,1,,,,,,Matches
341,Fernando Llorente,es ESP,FW,es Sevilla,30,1985,1.7,,,,,,,,,,,,,,,0,,,,,,Matches
342,Jürgen Locadia,cw CUW,FW,nl PSV Eindhoven,21,1993,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
343,Yuri Lodygin,ru RUS,GK,ru Zenit,25,1990,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
344,Ruben Loftus-Cheek,eng ENG,MF,eng Chelsea,19,1996,0.9,,,,,,,,,,,,,,,0,,,,,,Matches
345,Nicolas Lombaerts,be BEL,DF,ru Zenit,30,1985,7.7,,,,,,,,,,,,,,,0,,,,,,Matches
346,Anthony Lopes,pt POR,GK,fr Lyon,24,1990,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
347,Lisandro López,ar ARG,DF,pt Benfica,25,1989,2.0,,,,,,,,,,,,,,,0,,,,,,Matches
348,Filipe Luís,br BRA,DF,es Atlético Madrid,29,1985,10.5,,,,,,,,,,,,,,,0,,,,,,Matches
349,José Luis Gayà,es ESP,"DF,MF",es Valencia,20,1995,5.0,,,,,,,,,,,,,,,0,,,,,,Matches
350,Luisão,br BRA,DF,pt Benfica,34,1981,4.0,,,,,,,,,,,,,,,1,,,,,,Matches
