Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_npG-xG,Matches
223,Joe Gomez,eng ENG,DF,eng Liverpool,23,1997,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
224,Papu Gómez,ar ARG,"MF,FW",it Atalanta,32,1988,5.0,1,6,3,50.0,1.20,0.60,0.17,0.33,25.9,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches
225,Papu Gómez,ar ARG,"MF,FW",es Sevilla,32,1988,1.0,0,3,1,33.3,3.00,1.00,0.00,0.00,25.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
226,Sergi Gómez,es ESP,DF,es Sevilla,28,1992,2.2,0,2,0,0.0,0.91,0.00,0.00,,29.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
227,Alfred Gomis,sn SEN,GK,fr Rennes,26,1993,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
228,Álvaro González,es ESP,DF,fr Marseille,30,1990,6.0,0,3,0,0.0,0.50,0.00,0.00,,11.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
229,Leon Goretzka,de GER,MF,de Bayern Munich,25,1995,4.8,2,10,3,30.0,2.07,0.62,0.20,0.67,19.1,0,0,0,1.3,1.3,0.13,+0.7,+0.7,Matches
230,Yevgeni Gorodov,ru RUS,GK,ru Krasnodar,34,1985,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
231,Robin Gosens,de GER,DF,it Atalanta,26,1994,6.3,1,7,3,42.9,1.12,0.48,0.14,0.33,14.6,0,0,0,1.1,1.1,0.16,-0.1,-0.1,Matches
232,Ryan Gravenberch,nl NED,MF,nl Ajax,18,2002,5.9,1,6,1,16.7,1.02,0.17,0.17,1.00,22.6,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
233,Mason Greenwood,eng ENG,FW,eng Manchester Utd,18,2001,2.3,1,10,5,50.0,4.27,2.13,0.10,0.20,13.7,0,0,0,1.2,1.2,0.12,-0.2,-0.2,Matches
234,Clément Grenier,fr FRA,MF,fr Rennes,29,1991,2.5,0,2,2,100.0,0.81,0.81,0.00,0.00,24.1,1,0,0,0.4,0.4,0.21,-0.4,-0.4,Matches
235,Antoine Griezmann,fr FRA,"FW,MF",es Barcelona,29,1991,5.6,2,16,6,37.5,2.87,1.08,0.13,0.33,12.2,0,0,0,2.9,2.9,0.18,-0.9,-0.9,Matches
236,Marko Grujić,rs SRB,MF,pt Porto,24,1996,4.3,0,7,1,14.3,1.63,0.23,0.00,0.00,14.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
237,Nemanja Gudelj,rs SRB,"MF,DF",es Sevilla,28,1991,5.5,0,3,2,66.7,0.54,0.36,0.00,0.00,20.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
238,Raphaël Guerreiro,pt POR,DF,de Dortmund,26,1993,7.4,1,6,2,33.3,0.81,0.27,0.17,0.50,17.6,1,0,0,1.1,1.1,0.18,-0.1,-0.1,Matches
239,Pape Gueye,sn SEN,MF,fr Marseille,21,1999,1.9,0,2,1,50.0,1.06,0.53,0.00,0.00,14.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
240,Serhou Guirassy,gn GUI,FW,fr Rennes,24,1996,3.8,2,6,3,50.0,1.59,0.79,0.17,0.33,13.1,0,1,1,2.2,1.4,0.24,-0.2,-0.4,Matches
