Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%,Matches
51,Andrea Barzagli,it ITA,DF,it Juventus,37,1981,1.2,0,0,0,1,1,0,0,1,1,0,0,0,4,4,5,44.4,Matches
52,Michy Batshuayi,be BEL,FW,es Valencia,24,1993,3.8,1,0,0,11,6,9,0,1,2,0,0,0,8,4,3,57.1,Matches
53,Oliver Baumann,de GER,GK,de Hoffenheim,28,1990,6.0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,,Matches
54,Ömer Bayram,tr TUR,DF,tr Galatasaray,27,1991,0.6,0,0,0,0,3,0,5,0,1,0,0,0,5,0,1,0.0,Matches
55,Riechedly Bazoer,nl NED,MF,pt Porto,21,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
56,Rodrigo Becão,br BRA,DF,ru CSKA Moscow,22,1996,6.0,1,0,0,11,9,0,0,10,8,0,0,0,26,19,18,51.4,Matches
57,Donny van de Beek,nl NED,MF,nl Ajax,21,1997,10.9,2,0,0,14,7,6,1,14,17,0,0,0,55,9,15,37.5,Matches
58,Ishak Belfodil,dz ALG,"FW,MF",de Hoffenheim,26,1992,3.8,0,0,0,3,2,9,5,1,4,0,0,0,10,7,7,50.0,Matches
59,Younès Belhanda,ma MAR,MF,tr Galatasaray,28,1990,3.6,1,0,0,6,9,0,16,2,5,0,0,0,14,2,2,50.0,Matches
60,Diego Benaglio,ch SUI,GK,fr Monaco,34,1983,4.5,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,100.0,Matches
61,Medhi Benatia,ma MAR,DF,it Juventus,31,1987,1.0,0,0,0,0,1,0,0,2,2,0,0,0,6,1,0,100.0,Matches
62,Loris Benito,ch SUI,DF,ch Young Boys,26,1992,6.0,2,0,0,15,4,0,13,7,7,0,0,0,39,8,11,42.1,Matches
63,Nabil Bentaleb,dz ALG,MF,de Schalke 04,23,1994,4.7,0,0,0,3,2,0,7,5,8,0,0,0,31,4,3,57.1,Matches
64,Rodrigo Bentancur,uy URU,MF,it Juventus,21,1997,6.1,1,0,0,12,9,0,7,9,11,0,0,0,38,11,4,73.3,Matches
65,Karim Benzema,fr FRA,FW,es Real Madrid,30,1987,6.5,0,0,0,0,2,5,6,2,2,0,0,0,11,9,15,37.5,Matches
66,Steve von Bergen,ch SUI,DF,ch Young Boys,35,1983,4.5,1,0,0,6,2,0,0,10,7,0,0,0,19,3,5,37.5,Matches
67,Steven Bergwijn,nl NED,FW,nl PSV Eindhoven,20,1997,4.4,1,0,0,4,3,0,3,3,3,0,0,0,20,0,3,0.0,Matches
68,Federico Bernardeschi,it ITA,"MF,FW",it Juventus,24,1994,6.1,2,0,0,8,13,1,29,5,2,1,0,0,35,1,7,12.5,Matches
69,Juan Bernat,es ESP,DF,fr Paris S-G,25,1993,7.5,2,0,0,13,7,1,12,10,8,0,1,0,37,12,10,54.5,Matches
70,Leonardo Bertone,ch SUI,MF,ch Young Boys,24,1994,1.2,1,0,0,2,2,0,2,1,0,0,0,0,8,0,1,0.0,Matches
71,Giulian Biancone,fr FRA,DF,fr Monaco,18,2000,1.9,1,0,0,3,1,0,4,3,2,0,0,0,12,0,2,0.0,Matches
72,Ermin Bičakčić,ba BIH,DF,de Hoffenheim,28,1990,2.8,1,0,0,6,2,0,0,5,4,0,0,0,18,8,3,72.7,Matches
73,Jaka Bijol,si SVN,MF,ru CSKA Moscow,19,1999,3.0,2,0,0,11,4,0,0,4,6,0,0,0,12,18,8,69.2,Matches
74,Kristijan Bistrović,hr CRO,MF,ru CSKA Moscow,20,1998,2.0,0,0,0,1,2,0,2,0,1,0,0,0,14,1,3,25.0,Matches
75,Leonardo Bittencourt,de GER,MF,de Hoffenheim,24,1993,1.6,0,0,0,3,3,0,9,3,6,0,0,0,8,0,1,0.0,Matches
76,Daley Blind,nl NED,"DF,MF",nl Ajax,28,1990,12.0,2,0,0,9,7,1,8,20,11,0,0,0,64,31,29,51.7,Matches
77,Richmond Boakye,gh GHA,FW,rs Red Star,25,1993,2.1,0,0,0,1,3,2,1,1,0,0,0,0,7,2,11,15.4,Matches
78,Jérôme Boateng,de GER,DF,de Bayern Munich,29,1988,5.0,0,0,0,3,3,0,1,10,5,0,1,0,31,4,8,33.3,Matches
79,Serhiy Bolbat,ua UKR,FW,ua Shakhtar,25,1993,1.9,1,0,0,1,0,0,2,2,1,0,0,0,7,1,1,50.0,Matches
80,Leonardo Bonucci,it ITA,DF,it Juventus,31,1987,10.0,0,0,0,6,3,0,3,12,5,1,0,1,40,15,22,40.5,Matches
81,Milan Borjan,ca CAN,GK,rs Red Star,30,1987,6.0,1,0,0,0,0,0,0,1,0,0,0,0,7,4,0,100.0,Matches
82,Lucas Boyé,ar ARG,"FW,MF",gr AEK Athens,22,1996,1.4,0,0,0,5,2,1,3,2,1,0,0,0,9,2,2,50.0,Matches
83,Yacine Brahimi,dz ALG,"FW,MF",pt Porto,28,1990,6.9,0,0,0,7,11,1,4,6,6,0,0,0,40,3,3,50.0,Matches
84,Joshua Brenet,cw CUW,"DF,FW",de Hoffenheim,24,1994,1.5,0,0,0,0,0,1,0,0,1,0,0,0,9,0,2,0.0,Matches
85,Marcelo Brozović,hr CRO,MF,it Inter,25,1992,5.9,3,0,0,10,3,0,9,9,7,0,0,0,49,4,3,57.1,Matches
86,Jeffrey Bruma,nl NED,DF,de Schalke 04,26,1991,2.0,1,0,0,1,0,0,0,1,1,0,1,0,6,2,1,66.7,Matches
87,Jacob Bruun Larsen,dk DEN,FW,de Dortmund,19,1998,1.7,0,0,0,0,0,1,1,3,1,0,0,0,3,1,1,50.0,Matches
88,Gianluigi Buffon,it ITA,GK,fr Paris S-G,40,1978,5.0,0,0,0,1,1,0,0,1,0,0,1,0,7,0,0,,Matches
89,Guido Burgstaller,at AUT,FW,de Schalke 04,29,1989,2.6,1,0,0,4,2,6,1,0,0,0,0,0,8,5,5,50.0,Matches
90,Roman Bürki,ch SUI,GK,de Dortmund,27,1990,7.0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,,Matches
91,Sergio Busquets,es ESP,MF,es Barcelona,30,1988,11.5,3,0,0,19,14,0,0,15,21,0,0,0,90,16,19,45.7,Matches
92,Bohdan Butko,ua UKR,DF,ua Shakhtar,27,1991,1.5,0,0,0,0,1,0,4,1,1,0,0,0,5,1,1,50.0,Matches
93,Daniel Caligiuri,it ITA,"DF,FW",de Schalke 04,30,1988,5.7,0,0,0,11,6,2,31,11,17,0,0,0,26,6,2,75.0,Matches
94,José Callejón,es ESP,MF,it Napoli,31,1987,5.7,1,0,0,6,7,5,27,6,2,1,0,0,35,4,9,30.8,Matches
95,Emre Can,de GER,"MF,DF",it Juventus,24,1994,3.8,1,0,0,4,6,0,1,8,1,0,0,0,18,10,4,71.4,Matches
96,João Cancelo,pt POR,DF,it Juventus,24,1994,5.3,0,0,0,6,9,0,22,6,10,1,0,0,31,6,6,50.0,Matches
