Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_On-Off,Team_Success_xG_onxG,Team_Success_xG_onxGA,Team_Success_xG_xG+/-,Team_Success_xG_xG+/-90,Team_Success_xG_On-Off,Matches
269,Henri Bedimo,cm CMR,"DF,FW",Marseille,fr Ligue 1,33,1984,3,42,14,1.2,0.5,0,,0,3,14,7,3.00,2,3,-1,-2.14,-3.05,2.1,1.0,+1.1,+2.37,+1.44,Matches
270,Jan Bednarek,pl POL,DF,Southampton,eng Premier League,21,1996,5,426,85,12.5,4.7,5,,3,0,,9,1.60,5,5,0,0.00,+0.57,4.4,2.8,+1.6,+0.34,+0.55,Matches
271,Asmir Begović,ba BIH,GK,Bournemouth,eng Premier League,30,1987,38,3420,90,100.0,38.0,38,,38,0,,0,1.16,45,61,-16,-0.42,,38.8,59.2,-20.4,-0.54,,Matches
272,Valon Behrami,ch SUI,MF,Udinese,it Serie A,32,1985,20,1398,70,40.9,15.5,18,,6,2,,4,1.45,20,22,-2,-0.13,+0.45,18.9,17.5,+1.4,+0.09,+0.43,Matches
273,Efkan Bekiroglu,,MF,Augsburg,de Bundesliga,21,1995,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
274,Youcef Belaïli,dz ALG,"FW,MF",Angers,fr Ligue 1,25,1992,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
275,Vid Belec,si SVN,GK,Benevento,it Serie A,27,1990,13,1113,86,32.5,12.4,13,,12,0,,8,0.46,7,27,-20,-1.62,-0.41,12.5,25.0,-12.6,-1.02,-0.14,Matches
276,Vid Belec,si SVN,GK,Sampdoria,it Serie A,27,1990,2,180,90,5.3,2.0,2,,2,0,,11,0.00,1,5,-4,-2.00,-2.00,1.3,3.0,-1.7,-0.84,-0.70,Matches
277,Ishak Belfodil,dz ALG,FW,Werder Bremen,de Bundesliga,25,1992,26,1350,52,44.1,15.0,13,,5,13,,4,1.08,15,19,-4,-0.27,-0.32,20.7,19.6,+1.1,+0.07,+0.45,Matches
278,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,25,1991,25,2177,87,71.1,24.2,24,,24,1,,2,1.20,26,33,-7,-0.29,+0.42,24.3,31.7,-7.4,-0.31,+0.22,Matches
279,Raoul Bellanova,it ITA,"DF,MF",Milan,it Serie A,17,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
280,Karim Bellarabi,de GER,"MF,FW",Leverkusen,de Bundesliga,27,1990,24,1146,48,37.5,12.7,13,,6,11,,10,1.29,17,24,-7,-0.55,-1.54,21.2,16.6,+4.6,+0.36,-0.30,Matches
281,Alessandro Bellemo,it ITA,MF,SPAL,it Serie A,21,1995,0,,,,,0,,0,0,,19,,,,,,,,,,,,Matches
282,Héctor Bellerín,es ESP,DF,Arsenal,eng Premier League,22,1995,35,3051,87,89.2,33.9,34,,33,1,,0,1.71,67,44,+23,+0.68,+0.68,61.4,41.9,+19.5,+0.57,+0.33,Matches
283,François Bellugou,fr FRA,MF,Troyes,fr Ligue 1,30,1987,30,2177,73,63.7,24.2,27,77,16,3,32,5,0.90,19,41,-22,-0.91,-0.55,22.7,36.0,-13.3,-0.55,-0.50,Matches
284,Andrea Belotti,it ITA,FW,Torino,it Serie A,23,1993,32,2683,84,78.5,29.8,29,,27,3,,0,1.50,43,35,+8,+0.27,+0.27,36.0,38.5,-2.5,-0.08,-0.26,Matches
285,Chaouki Ben Saada,tn TUN,"FW,MF",Troyes,fr Ligue 1,33,1984,16,342,21,10.0,3.8,2,68,0,14,15,9,0.94,6,8,-2,-0.53,+0.20,5.5,7.9,-2.4,-0.63,-0.29,Matches
286,Wissam Ben Yedder,fr FRA,FW,Sevilla,es La Liga,26,1990,25,1700,68,49.7,18.9,18,85,13,7,24,12,1.36,24,27,-3,-0.16,+0.16,30.2,22.9,+7.3,+0.38,+0.49,Matches
287,Diego Benaglio,ch SUI,GK,Monaco,fr Ligue 1,33,1983,3,225,75,6.6,2.5,2,90,2,1,45,20,3.00,9,0,+9,+3.60,+2.73,5.9,2.5,+3.4,+1.38,+1.09,Matches
288,Ahmad Benali,ly LBY,MF,Crotone,it Serie A,25,1992,10,811,81,23.7,9.0,10,,8,0,,0,0.90,14,14,0,0.00,+0.90,11.2,11.4,-0.2,-0.02,+0.80,Matches
289,Yohan Benalouane,tn TUN,DF,Leicester City,eng Premier League,30,1987,1,90,90,2.6,1.0,1,,1,0,,8,0.00,0,2,-2,-2.00,-1.95,0.5,1.6,-1.1,-1.07,-1.15,Matches
290,Marco Benassi,it ITA,"MF,FW",Fiorentina,it Serie A,22,1994,35,2782,79,81.3,30.9,35,,20,0,,2,1.51,41,34,+7,+0.23,+0.09,44.3,30.0,+14.3,+0.46,+0.54,Matches
